"","row","column","cor","p"
"1","NationalismTiming_First.Click","NationalismTiming_Last.Click",0.567,0
"2","NationalismTiming_First.Click","NationalismTiming_Page.Submit",0.564,0
"3","NationalismTiming_Last.Click","NationalismTiming_Page.Submit",0.992,0
"5","NationalismTiming_Last.Click","NationalismTiming_Click.Count",0.057,0.002
"6","NationalismTiming_Page.Submit","NationalismTiming_Click.Count",0.045,0.013
"10","NationalismTiming_Click.Count","Nationalism_Nationalism_1",0.042,0.022
"12","NationalismTiming_Last.Click","Nationalism_Nationalism_2",0.045,0.013
"13","NationalismTiming_Page.Submit","Nationalism_Nationalism_2",0.042,0.021
"14","NationalismTiming_Click.Count","Nationalism_Nationalism_2",0.04,0.028
"15","Nationalism_Nationalism_1","Nationalism_Nationalism_2",0.581,0
"17","NationalismTiming_Last.Click","Nationalism_Nationalism_3",0.038,0.034
"18","NationalismTiming_Page.Submit","Nationalism_Nationalism_3",0.038,0.038
"20","Nationalism_Nationalism_1","Nationalism_Nationalism_3",0.819,0
"21","Nationalism_Nationalism_2","Nationalism_Nationalism_3",0.583,0
"23","NationalismTiming_Last.Click","Nationalism_Nationalism_4",0.043,0.017
"24","NationalismTiming_Page.Submit","Nationalism_Nationalism_4",0.041,0.023
"26","Nationalism_Nationalism_1","Nationalism_Nationalism_4",0.728,0
"27","Nationalism_Nationalism_2","Nationalism_Nationalism_4",0.682,0
"28","Nationalism_Nationalism_3","Nationalism_Nationalism_4",0.755,0
"33","Nationalism_Nationalism_1","Nationalism_Nationalism_5",0.576,0
"34","Nationalism_Nationalism_2","Nationalism_Nationalism_5",0.702,0
"35","Nationalism_Nationalism_3","Nationalism_Nationalism_5",0.606,0
"36","Nationalism_Nationalism_4","Nationalism_Nationalism_5",0.682,0
"38","NationalismTiming_Last.Click","Nationalism_Nationalism_6",0.036,0.048
"41","Nationalism_Nationalism_1","Nationalism_Nationalism_6",0.583,0
"42","Nationalism_Nationalism_2","Nationalism_Nationalism_6",0.501,0
"43","Nationalism_Nationalism_3","Nationalism_Nationalism_6",0.592,0
"44","Nationalism_Nationalism_4","Nationalism_Nationalism_6",0.579,0
"45","Nationalism_Nationalism_5","Nationalism_Nationalism_6",0.47,0
"50","Nationalism_Nationalism_1","Nationalism_Nationalism_7",0.529,0
"51","Nationalism_Nationalism_2","Nationalism_Nationalism_7",0.491,0
"52","Nationalism_Nationalism_3","Nationalism_Nationalism_7",0.54,0
"53","Nationalism_Nationalism_4","Nationalism_Nationalism_7",0.556,0
"54","Nationalism_Nationalism_5","Nationalism_Nationalism_7",0.499,0
"55","Nationalism_Nationalism_6","Nationalism_Nationalism_7",0.432,0
"57","NationalismTiming_Last.Click","Nationalism_Nationalism_8",0.04,0.029
"58","NationalismTiming_Page.Submit","Nationalism_Nationalism_8",0.036,0.049
"60","Nationalism_Nationalism_1","Nationalism_Nationalism_8",0.529,0
"61","Nationalism_Nationalism_2","Nationalism_Nationalism_8",0.463,0
"62","Nationalism_Nationalism_3","Nationalism_Nationalism_8",0.54,0
"63","Nationalism_Nationalism_4","Nationalism_Nationalism_8",0.575,0
