"","row","column","cor","p"
"1","Columbus Day","Indigenous Peoples' Day",0.478,0
"2","Columbus Day","Cultural Racism",-0.301,0
"3","Indigenous Peoples' Day","Cultural Racism",-0.307,0
"4","Columbus Day","Broken Stereotypes",-0.155,0
"5","Indigenous Peoples' Day","Broken Stereotypes",-0.188,0
"6","Cultural Racism","Broken Stereotypes",0.608,0
"7","Columbus Day","Colorblindness",-0.09,0
"8","Indigenous Peoples' Day","Colorblindness",-0.058,0.002
"9","Cultural Racism","Colorblindness",0.012,0.529
"10","Broken Stereotypes","Colorblindness",-0.039,0.039
"11","Columbus Day","Romantic Stereotypes",-0.182,0
"12","Indigenous Peoples' Day","Romantic Stereotypes",-0.062,0.001
"13","Cultural Racism","Romantic Stereotypes",0.068,0
"14","Broken Stereotypes","Romantic Stereotypes",-0.041,0.031
"15","Colorblindness","Romantic Stereotypes",0.178,0
"16","Columbus Day","Contact",0.029,0.122
"17","Indigenous Peoples' Day","Contact",0.02,0.29
"18","Cultural Racism","Contact",-0.01,0.596
"19","Broken Stereotypes","Contact",0.059,0.002
"20","Colorblindness","Contact",0.068,0
"21","Romantic Stereotypes","Contact",0.019,0.303
"22","Columbus Day","Extended",0.004,0.836
"23","Indigenous Peoples' Day","Extended",0.018,0.326
"24","Cultural Racism","Extended",-0.042,0.024
"25","Broken Stereotypes","Extended",-0.005,0.8
"26","Colorblindness","Extended",0.066,0
"27","Romantic Stereotypes","Extended",0.014,0.443
"28","Contact","Extended",0.705,0
"29","Columbus Day","Familiar Products (sum)",-0.061,0.001
"30","Indigenous Peoples' Day","Familiar Products (sum)",-0.01,0.578
"31","Cultural Racism","Familiar Products (sum)",-0.18,0
"32","Broken Stereotypes","Familiar Products (sum)",-0.281,0
"33","Colorblindness","Familiar Products (sum)",0.03,0.107
"34","Romantic Stereotypes","Familiar Products (sum)",0.079,0
"35","Contact","Familiar Products (sum)",0.055,0.003
"36","Extended","Familiar Products (sum)",0.136,0
"37","Columbus Day","Products Used (sum)",-0.162,0
"38","Indigenous Peoples' Day","Products Used (sum)",-0.066,0
"39","Cultural Racism","Products Used (sum)",0.026,0.16
"40","Broken Stereotypes","Products Used (sum)",-0.04,0.034
"41","Colorblindness","Products Used (sum)",0.05,0.007
"42","Romantic Stereotypes","Products Used (sum)",0.142,0
"43","Contact","Products Used (sum)",0.126,0
"44","Extended","Products Used (sum)",0.174,0
"45","Familiar Products (sum)","Products Used (sum)",0.451,0
"46","Columbus Day","FamiliarExpressions (sum)",-0.032,0.084
"47","Indigenous Peoples' Day","FamiliarExpressions (sum)",-0.017,0.379
"48","Cultural Racism","FamiliarExpressions (sum)",-0.164,0
"49","Broken Stereotypes","FamiliarExpressions (sum)",-0.26,0
"50","Colorblindness","FamiliarExpressions (sum)",0,0.986
"51","Romantic Stereotypes","FamiliarExpressions (sum)",-0.013,0.506
"52","Contact","FamiliarExpressions (sum)",0.02,0.293
"53","Extended","FamiliarExpressions (sum)",0.088,0
"54","Familiar Products (sum)","FamiliarExpressions (sum)",0.593,0
"55","Products Used (sum)","FamiliarExpressions (sum)",0.273,0
"56","Columbus Day","Native SDO adaptation",-0.286,0
"57","Indigenous Peoples' Day","Native SDO adaptation",-0.399,0
"58","Cultural Racism","Native SDO adaptation",0.533,0
"59","Broken Stereotypes","Native SDO adaptation",0.496,0
"60","Colorblindness","Native SDO adaptation",-0.09,0
"61","Romantic Stereotypes","Native SDO adaptation",-0.113,0
"62","Contact","Native SDO adaptation",0.025,0.181
"63","Extended","Native SDO adaptation",-0.01,0.594
"64","Familiar Products (sum)","Native SDO adaptation",-0.161,0
"65","Products Used (sum)","Native SDO adaptation",-0.016,0.403
"66","FamiliarExpressions (sum)","Native SDO adaptation",-0.109,0
"67","Columbus Day","Conflict",-0.229,0
"68","Indigenous Peoples' Day","Conflict",-0.257,0
"69","Cultural Racism","Conflict",0.727,0
"70","Broken Stereotypes","Conflict",0.568,0
"71","Colorblindness","Conflict",-0.026,0.169
"72","Romantic Stereotypes","Conflict",0.008,0.667
"73","Contact","Conflict",-0.012,0.519
"74","Extended","Conflict",-0.053,0.005
"75","Familiar Products (sum)","Conflict",-0.26,0
"76","Products Used (sum)","Conflict",-0.018,0.341
"77","FamiliarExpressions (sum)","Conflict",-0.27,0
"78","Native SDO adaptation","Conflict",0.509,0
"79","Columbus Day","SLB (comp)",-0.5,0
"80","Indigenous Peoples' Day","SLB (comp)",-0.442,0
"81","Cultural Racism","SLB (comp)",0.456,0
"82","Broken Stereotypes","SLB (comp)",0.319,0
"83","Colorblindness","SLB (comp)",0.126,0
"84","Romantic Stereotypes","SLB (comp)",0.164,0
